#{"t_start": 1605156579.3429224, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-1339.977966,144,260.825341,0
-1684.241947,239,262.646487,0
-1322.011569,304,264.583542,0
-337.245078,43,264.628722,0
-1326.69757,189,265.865449,0
-1479.613035,139,267.059579,0
-1454.192514,148,267.740956,0
-1417.660769,202,268.962573,0
-1293.824175,205,270.298888,0
-1443.134748,139,271.055945,0
-348.185878,43,271.655159,0
-1358.667384,135,272.324268,0
-1340.961852,171,273.573355,0
-1314.034957,140,274.218882,0
-1458.266076,142,275.469007,0
-1507.847247,133,276.172046,0
-1416.102637,125,276.831894,0
-1464.039634,135,278.105091,0
-1313.597803,119,278.804051,0
-407.913093,59,279.374513,0
-1503.267925,142,280.065604,0
-1409.531107,257,281.412334,0
-1455.55085,122,282.61505,0
-1395.086046,152,283.282058,0
-1322.509525,170,284.527765,0
-423.304597,64,285.123345,0
-1343.40392,141,285.776525,0
-1294.235338,116,286.468356,0
-1285.807154,121,287.13824,0
-1384.847239,140,288.370293,0
-1363.031511,162,289.05792,0
-1368.178267,154,290.2191,0
-1376.728354,175,291.438018,0
-1382.027862,157,292.110305,0
-366.690302,47,292.672562,0
-1374.895657,151,293.331401,0
-1470.87895,177,294.530567,0
-1371.469911,149,295.322317,0
-1398.926797,169,296.650821,0
-1536.173152,189,297.910961,0
-1364.236104,129,298.594069,0
-1279.530333,149,299.784445,0
-1693.820235,247,301.132569,0
-1409.091865,206,302.428157,0
-1377.882953,160,303.64871,0
-1371.840024,185,304.949324,0
-1365.945952,182,306.16636,0
-327.256089,34,306.208755,0
-1405.849568,144,306.886438,0
-1320.00874,153,308.056315,0
-1283.642116,188,309.26597,0
-1373.798127,166,310.018533,0
-1365.333125,280,312.033761,0
-1336.694712,201,313.301904,0
-1551.321264,153,314.510377,0
-481.77214,165,315.253026,0
-1410.148894,142,316.504843,0
-1246.846464,361,319.087293,0
-1523.525367,161,319.827009,0
-1894.921415,280,321.808215,0
-340.940313,66,322.472007,0
-1621.239614,202,323.735728,0
-1454.813488,154,324.461237,0
-1288.260558,194,325.687129,0
-1415.047179,254,327.616197,0
-1311.700837,178,328.336328,0
-1266.902911,383,330.891521,0
-1586.078547,198,332.184587,0
-1385.160958,255,334.056268,0
-1595.866653,229,335.346791,0
-1776.80219,254,337.112759,0
-2005.447529,291,338.421597,0
-1285.941142,345,341.025985,0
-692.75975,167,342.291508,0
-735.594183,212,343.60403,0
-547.156296,119,344.267107,0
-1693.981899,334,346.230737,0
-1530.220123,293,348.16117,0
-1752.156285,248,350.043893,0
-1333.869638,244,351.391857,0
-1341.874632,268,353.281251,0
-1203.11425,267,354.663386,0
-488.851286,82,355.245948,0
-1008.013232,401,357.807029,0
-1283.165286,257,359.722631,0
-1314.710774,141,360.374882,0
-583.245977,141,361.650861,0
-481.81721,96,362.288847,0
-1393.960084,193,363.577438,0
