#{"t_start": 1606382012.5693095, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-369.27209,60,5431.738885,0
-460.763521,53,5431.885457,0
-510.265303,67,5432.113495,0
-499.909758,53,5432.283593,0
-447.013108,51,5432.430257,0
1239.155743,119,5432.860956,1
-390.557651,59,5433.106822,0
1169.012278,126,5433.520561,1
-516.664346,68,5433.710604,0
1396.100697,100,5434.04759,1
-573.534436,213,5434.81128,0
1381.110789,101,5435.147125,1
1237.543211,118,5435.555539,1
-674.860154,335,5436.717341,0
-432.887062,63,5436.955018,0
1449.955337,94,5437.239554,1
1274.034436,116,5437.636553,1
-499.831605,203,5438.378958,0
1221.072018,121,5438.75466,1
1439.765344,95,5439.021364,1
1319.914408,109,5439.401961,1
1369.681182,103,5439.765925,1
1194.590442,125,5440.203186,1
1305.431926,109,5440.548975,1
-422.845488,125,5440.931684,0
-553.843801,169,5441.477749,0
1370.310063,101,5441.847134,1
1254.649226,121,5442.26812,1
1229.432729,121,5442.666165,1
1115.857174,136,5443.092041,1
1302.072246,111,5443.472063,1
1256.401452,118,5443.906211,1
1446.561484,96,5444.216604,1
1062.507059,147,5444.740191,1
1497.570883,90,5444.988205,1
1235.433569,119,5445.407507,1
-456.098925,102,5445.789112,0
-428.8216,185,5446.43356,0
707.501704,213,5447.083084,1
-413.846206,114,5447.494283,0
1322.073848,107,5447.912291,1
-454.08728,67,5448.127396,0
1325.362959,115,5448.509657,1
1350.368282,107,5448.855896,1
-432.554543,65,5449.06191,0
-424.857908,52,5449.221262,0
-454.892211,57,5449.433504,0
-401.67491,93,5449.737115,0
-450.697519,54,5449.954778,0
1254.226374,116,5450.344096,1
1332.258236,107,5450.650173,1
1224.340242,114,5451.004985,1
-419.303282,151,5451.497532,0
1206.862722,117,5451.924049,1
-406.205517,58,5452.149817,0
1447.720021,94,5452.461294,1
-486.595234,60,5452.644986,0
1534.602515,85,5452.918828,1
-563.98821,172,5453.509667,0
1341.846989,111,5453.926074,1
-451.269874,64,5454.128359,0
-527.332561,71,5454.380355,0
1508.894589,87,5454.676381,1
1369.075405,102,5454.960626,1
1275.991243,115,5455.345879,1
1116.78904,131,5455.807167,1
1414.194018,98,5456.173193,1
-407.488713,77,5456.438122,0
1478.120451,92,5456.709375,1
-455.767209,57,5456.906288,0
1269.211319,114,5457.261272,1
-424.099647,66,5457.45803,0
-491.372851,61,5457.700728,0
908.515314,190,5458.341162,1
1384.945865,101,5458.680313,1
1228.365818,123,5459.084229,1
1172.498053,124,5459.52115,1
-378.871177,401,5460.89965,0
1244.466384,121,5461.310777,1
-476.636043,56,5461.518668,0
-512.328599,67,5461.724525,0
1288.729328,115,5462.13025,1
1464.720415,92,5462.448528,1
974.880216,161,5462.947322,1
1315.249448,107,5463.315899,1
1470.491197,92,5463.598377,1
1427.236418,96,5463.954622,1
-421.550439,54,5464.18459,0
1340.040041,109,5464.493232,1
-459.470658,72,5464.730546,0
1227.428379,123,5465.119022,1
1439.034656,93,5465.474088,1
-1095.456602,322,5466.566741,0
1182.703326,129,5466.973422,1
-440.24645,79,5467.22994,0
1319.904024,112,5467.635157,1
1254.259662,114,5468.061196,1
1440.296219,95,5468.358494,1
-642.957967,401,5469.710071,0
1339.478899,107,5470.06114,1
-466.401623,56,5470.274489,0
1364.161084,102,5470.606433,1
-407.693675,50,5470.772363,0
1304.463034,111,5471.102422,1
1414.255298,99,5471.469238,1
1422.981458,99,5471.783031,1
1275.755661,118,5472.220664,1
-578.563233,262,5473.050715,0
-466.246502,54,5473.232191,0
1491.651664,90,5473.524689,1
1225.331921,124,5473.975391,1
1384.362867,102,5474.348419,1
1163.562916,142,5474.782266,1
-464.768372,69,5475.032524,0
-422.149403,71,5475.218364,0
-450.542205,60,5475.467175,0
-437.703337,69,5475.681965,0
1435.561998,97,5476.034247,1
1238.560678,122,5476.463055,1
1224.591024,119,5476.854288,1
1201.459775,127,5477.249346,1
-482.892749,64,5477.51571,0
1336.812691,110,5477.858918,1
-375.375465,84,5478.195343,0
1214.40363,122,5478.594002,1
1333.915054,109,5478.954472,1
1357.904136,107,5479.300764,1
1051.725405,144,5479.824619,1
-502.039884,211,5480.559977,0
1408.070623,100,5480.832561,1
985.91915,157,5481.379549,1
-440.794822,223,5482.143278,0
1324.732499,112,5482.521545,1
1482.212458,92,5482.816871,1
-465.82096,66,5483.006699,0
1199.924729,125,5483.407232,1
1185.077695,120,5483.851378,1
1323.748978,113,5484.276218,1
1385.246801,103,5484.606695,1
1212.978904,123,5485.027055,1
1372.85635,105,5485.397571,1
1308.621949,123,5485.836743,1
1312.589341,114,5486.219173,1
1341.407205,111,5486.539261,1
1153.018096,127,5486.939795,1
-411.072978,157,5487.475995,0
-466.502007,62,5487.674615,0
1228.966051,121,5488.109579,1
1526.935749,85,5488.419642,1
1422.90222,101,5488.756849,1
413.556703,266,5489.672471,1
-492.164654,184,5490.296366,0
1420.859866,96,5490.62185,1
1343.927313,109,5490.986058,1
-434.705583,71,5491.206771,0
1337.047753,108,5491.593441,1
-466.103973,177,5492.210536,0
936.036647,163,5492.772316,1
-497.211037,71,5492.981067,0
1538.834299,85,5493.282011,1
1188.948034,118,5493.684672,1
1255.879074,111,5494.096628,1
1311.250902,109,5494.46416,1
-375.950737,77,5494.705699,0
1256.33412,123,5495.100613,1
1567.496639,80,5495.359725,1
1109.358724,131,5495.824286,1
1146.532005,136,5496.300867,1
-427.863536,89,5496.600268,0
1654.979074,67,5496.804786,1
1336.378033,104,5497.162442,1
-436.847137,81,5497.436612,0
1255.852817,118,5497.835048,1
-437.818084,70,5498.105426,0
-442.446285,72,5498.359192,0
-463.048067,77,5498.585225,0
-431.859118,59,5498.788411,0
1376.44243,105,5499.076882,1
1283.150448,112,5499.467957,1
-506.376171,74,5499.748889,0
1159.590967,143,5500.262098,1
-510.163839,208,5500.929887,0
-364.863338,61,5501.09638,0
-510.406177,401,5502.511339,0
1450.251341,95,5502.842409,1
-335.174023,54,5502.985564,0
630.863473,215,5503.749844,1
-392.29619,192,5504.449334,0
1219.88125,135,5504.879902,1
-385.907191,74,5505.071224,0
1183.969386,128,5505.520592,1
-398.288045,145,5506.041825,0
-474.873731,74,5506.320771,0
1354.653995,101,5506.66086,1
1189.963529,131,5507.066315,1
-417.400611,70,5507.282236,0
-527.419857,72,5507.516769,0
1509.739725,86,5507.795572,1
-439.911315,67,5507.99855,0
1394.485419,96,5508.287661,1
1275.201056,116,5508.666979,1
1704.221488,59,5508.83327,1
465.326661,241,5509.612444,1
1676.973482,63,5509.850381,1
-520.918412,155,5510.336785,0
1170.479739,127,5510.743223,1
1377.451278,104,5511.083486,1
-450.1661,63,5511.280203,0
799.04403,212,5511.966503,1
1210.737199,119,5512.358528,1
1569.815429,78,5512.653464,1
1406.668634,98,5513.069725,1
1445.304717,93,5513.454569,1
1301.104423,109,5513.845703,1
1074.037639,139,5514.367762,1
1103.732362,140,5514.919876,1
1136.001134,137,5515.441761,1
1040.319061,163,5516.034866,1
-450.638659,196,5516.710801,0
1328.790002,114,5517.081878,1
1107.192401,126,5517.489428,1
1501.624166,89,5517.783839,1
-519.942744,77,5518.080076,0
1169.828233,130,5518.527224,1
1170.149084,125,5518.925728,1
1543.605992,84,5519.153459,1
964.641115,151,5519.735836,1
1295.472189,118,5520.159101,1
140.374265,306,5521.12489,1
1532.557494,86,5521.427239,1
1305.50605,108,5521.775252,1
1317.432511,111,5522.177644,1
1199.332291,128,5522.61972,1
1076.62055,142,5523.075066,1
1311.11587,118,5523.470829,1
1320.129906,114,5523.89771,1
1193.721271,123,5524.305258,1
1193.536098,126,5524.710003,1
1497.162613,88,5525.013019,1
-458.237511,77,5525.26918,0
1289.684079,107,5525.614538,1
1165.730007,128,5526.086706,1
1158.701844,130,5526.525478,1
-432.107829,129,5526.920248,0
-443.987971,68,5527.161093,0
1266.039576,115,5527.554227,1
1192.269261,125,5528.003117,1
-511.310707,101,5528.369625,0
1468.648265,93,5528.641394,1
1479.857224,92,5528.932536,1
-532.009765,214,5529.633645,0
-480.599181,72,5529.831934,0
1367.791457,106,5530.160604,1
1219.539979,120,5530.547812,1
-473.754878,68,5530.783369,0
987.105847,166,5531.292094,1
1218.005404,120,5531.678238,1
1431.27708,99,5531.998184,1
1359.657654,104,5532.280306,1
1068.989349,146,5532.78818,1
1077.005157,153,5533.260006,1
-550.921451,290,5534.181857,0
1374.334126,105,5534.519679,1
1612.128654,73,5534.716952,1
1211.966663,125,5535.102933,1
1064.70874,140,5535.542684,1
-579.14074,401,5536.869606,0
21.836504,307,5537.838575,1
1249.071052,117,5538.217553,1
1346.835287,109,5538.549348,1
1342.387888,111,5538.900064,1
1098.958991,140,5539.340625,1
1008.327079,168,5539.858238,1
1224.874863,122,5540.24948,1
1511.41658,87,5540.548408,1
1394.780718,101,5540.827655,1
1162.554418,130,5541.262941,1
-442.113977,69,5541.506103,0
1021.099871,150,5541.994828,1
-515.948618,78,5542.242944,0
-438.88296,64,5542.465913,0
1522.190294,84,5542.819192,1
1532.715016,83,5543.16975,1
1216.588419,126,5543.637731,1
1327.359919,116,5544.010577,1
1359.287497,106,5544.38508,1
1104.034559,134,5544.820595,1
-469.461055,96,5545.130615,0
1370.435283,106,5545.500974,1
-454.505363,66,5545.703303,0
1414.963724,97,5546.0783,1
1128.55703,134,5546.523543,1
-369.871409,98,5546.864694,0
1198.458305,139,5547.305506,1
1121.243912,137,5547.796417,1
1096.833492,138,5548.284668,1
1029.560994,165,5548.840306,1
1116.871557,133,5549.247054,1
-412.071849,82,5549.531578,0
