#{"t_start": 1605971973.361055, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-1424.535237,112,41.176649,0
-1298.244402,103,41.331474,0
-1308.592582,86,41.488645,0
-324.869206,29,41.536547,0
-1354.548078,114,41.720279,0
-1347.335166,98,41.880115,0
-1343.791307,94,42.038594,0
-1274.94049,81,42.170994,0
-1273.618519,98,42.318828,0
-1414.646271,98,42.484203,0
-1197.080562,94,42.628929,0
-1280.791099,83,42.78485,0
-1295.189759,89,42.916511,0
-1315.1362,92,43.074139,0
-1407.428877,96,43.233524,0
-1260.587762,101,43.404835,0
-1408.008917,94,43.539284,0
-1299.669732,86,43.682885,0
-1467.003079,104,43.854447,0
-1337.88161,91,44.011926,0
-1296.35256,85,44.148371,0
-1245.76924,97,44.302214,0
-1301.429615,82,44.446758,0
-359.859296,39,44.507479,0
-1265.215825,91,44.652601,0
-1268.00982,87,44.788681,0
-1320.034635,93,44.926677,0
-1343.078163,90,45.088822,0
-1333.318134,96,45.236727,0
-1277.229067,97,45.408392,0
-1316.854777,90,45.543563,0
-1391.720752,101,45.731372,0
-1359.681688,99,45.903726,0
-1287.641479,90,46.08063,0
-1324.111265,85,46.2313,0
-1382.70082,102,46.434763,0
-1402.755662,94,46.611958,0
-1345.22099,95,46.781199,0
-1328.580103,86,46.928421,0
-1262.923986,110,47.107244,0
-1230.222677,95,47.255703,0
-1194.100394,97,47.43121,0
-1386.549371,94,47.589673,0
-1446.661654,111,47.792967,0
-1250.869959,112,47.998981,0
-1345.096911,95,48.180507,0
-1342.016255,90,48.347975,0
-384.954976,49,48.433033,0
-1255.16748,106,48.648782,0
-1303.137349,98,48.806985,0
-1316.103956,84,48.953978,0
-1341.088853,84,49.085382,0
-1377.813302,86,49.239889,0
-1393.944847,100,49.399227,0
-1452.87012,101,49.56428,0
-1409.675147,102,49.716048,0
-338.418987,32,49.762951,0
-1497.085967,116,49.974429,0
-1306.988485,99,50.124843,0
-1218.066934,102,50.307539,0
-1331.349161,90,50.449649,0
-1234.283437,99,50.615283,0
-1352.657376,98,50.76274,0
-1332.983853,93,50.913897,0
-1401.90566,94,51.068443,0
-1269.548021,120,51.274505,0
-1308.712977,106,51.43317,0
-1306.532251,100,51.61643,0
-1256.055658,97,51.764942,0
-1316.840591,107,51.940402,0
-1340.100328,93,52.072564,0
-1388.65333,114,52.25979,0
-1364.049229,90,52.397769,0
-1495.208297,108,52.584599,0
-1276.379077,112,52.762251,0
-1291.391839,99,52.931341,0
-1422.822822,103,53.094349,0
-1213.988749,96,53.251471,0
-1373.335192,106,53.424176,0
-1314.131671,109,53.604551,0
-1920.262192,181,53.901032,0
-1269.067994,94,54.045223,0
-1296.828674,91,54.196312,0
-1341.158877,92,54.338743,0
-1277.938425,94,54.491813,0
-1431.776536,93,54.642383,0
-1452.496072,98,54.808661,0
-1318.489872,84,54.937065,0
-1367.961022,93,55.090813,0
-1429.347819,93,55.241522,0
-1357.724123,94,55.396557,0
-1334.809189,94,55.544267,0
-1244.570212,109,55.721746,0
-1211.732399,106,55.917166,0
-1438.194202,95,56.097058,0
-1512.930463,100,56.278999,0
-1350.98211,96,56.46589,0
-1381.489576,92,56.643567,0
-1295.059782,107,56.823999,0
-1273.253056,114,57.002973,0
-456.244961,63,57.108864,0
-1485.887002,92,57.265334,0
-1324.151985,94,57.413359,0
-1345.955772,93,57.576869,0
-1221.885065,115,57.76081,0
-1225.289022,135,57.980718,0
-1258.032539,111,58.161458,0
-1293.86246,117,58.351536,0
-1461.740626,104,58.521341,0
